"COUNTRY"	"COUNTRYCODE"	"TRADEFLOW"	"YEAR"	"ANNUALTOTAL"
"Saint Vincent and the Grenadines"	670	"Exports"	2010	41515805
"Samoa"	882	"Exports"	2010	59514213
"Sao Tome and Principe"	678	"Exports"	2010	6381277
"Saudi Arabia"	682	"Exports"	2010	251143033395
"Senegal"	686	"Exports"	2010	2088090187
"Serbia"	688	"Exports"	2010	9794515799
"Seychelles"	690	"Exports"	2010	400208653
"Sierra Leone"	694	"Exports"	2010	244743035
"Singapore"	702	"Exports"	2010	351867167059
"Slovakia"	703	"Exports"	2010	63998612526
"Slovenia"	705	"Exports"	2010	24434752222
"Solomon Isds"	90	"Exports"	2010	221486320
"Somalia"	706	"Exports"	2010	"N/A"
"South Africa"	710	"Exports"	2010	81821575163
"Spain"	724	"Exports"	2010	246265330443
"Sri Lanka"	144	"Exports"	2010	8304051802
"Sudan"	736	"Exports"	2010	10500000000
"Suriname"	740	"Exports"	2010	2025566568
"Swaziland"	748	"Exports"	2010	"N/A"
"Sweden"	752	"Exports"	2010	158410621989
"Switzerland"	757	"Exports"	2010	195609280170
"Syria"	760	"Exports"	2010	12304301808
"Tajikistan"	762	"Exports"	2010	1206100000
"TFYR of Macedonia"	807	"Exports"	2010	3351429481
"Thailand"	764	"Exports"	2010	195311520256
"Timor-Leste"	626	"Exports"	2010	24096757
"Togo"	768	"Exports"	2010	"N/A"
"Tokelau"	772	"Exports"	2010	"N/A"
"Tonga"	776	"Exports"	2010	8257026
"Trinidad and Tobago"	780	"Exports"	2010	10981679472
"Tunisia"	788	"Exports"	2010	16426570438
"Turkey"	792	"Exports"	2010	113979451826
"Turkmenistan"	795	"Exports"	2010	"N/A"
"Turks and Caicos Isds"	796	"Exports"	2010	15583660
"Tuvalu"	798	"Exports"	2010	"N/A"
"Uganda"	800	"Exports"	2010	1618603260
"Ukraine"	804	"Exports"	2010	51430285576
"United Arab Emirates"	784	"Exports"	2010	198362000000
"United Kingdom"	826	"Exports"	2010	405868895413
"United Rep. of Tanzania"	834	"Exports"	2010	4050546445
"Uruguay"	858	"Exports"	2010	6707130000
"USA"	842	"Exports"	2010	1277109161855
"Uzbekistan"	860	"Exports"	2010	"N/A"
"Vanuatu"	548	"Exports"	2010	46174039
"Venezuela"	862	"Exports"	2010	66962672650
"Viet Nam"	704	"Exports"	2010	72236665000
"Wallis and Futuna Isds"	876	"Exports"	2010	"N/A"
"Western Sahara"	732	"Exports"	2010	"N/A"
"Yemen"	887	"Exports"	2010	8497128649
"Zambia"	894	"Exports"	2010	7200267057
"Zimbabwe"	716	"Exports"	2010	3199231156
