"Domain"	"Country"	"Item"	"Element"	"Year"	"Value"
"Livestock"	"Brunei Darussalam"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.44
"Livestock"	"Bulgaria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.11
"Livestock"	"Burkina Faso"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.7
"Livestock"	"Burundi"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.26
"Livestock"	"Cambodia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.74
"Livestock"	"Cameroon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.53
"Livestock"	"Canada"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.21
"Livestock"	"Cape Verde"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.61
"Livestock"	"Cayman Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.76
"Livestock"	"Central African Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.77
"Livestock"	"Chad"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.15
"Livestock"	"Chile"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.24
"Livestock"	"China"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.21
"Livestock"	"Colombia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.65
"Livestock"	"Comoros"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.32
"Livestock"	"Congo"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.03
"Livestock"	"Cook Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.04
"Livestock"	"Costa Rica"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.72
"Livestock"	"Côte d'Ivoire"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.08
"Livestock"	"Croatia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.33
"Livestock"	"Cuba"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.61
"Livestock"	"Cyprus"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.48
"Livestock"	"Czech Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.31
"Livestock"	"Democratic People's Republic of Korea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.23
"Livestock"	"Democratic Republic of the Congo"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.03
"Livestock"	"Denmark"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.6
"Livestock"	"Djibouti"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.17
"Livestock"	"Dominica"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.52
"Livestock"	"Dominican Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.19
"Livestock"	"Ecuador"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.7
"Livestock"	"Egypt"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	2.33
"Livestock"	"El Salvador"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.82
"Livestock"	"Equatorial Guinea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.02
"Livestock"	"Eritrea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.27
"Livestock"	"Estonia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.25
"Livestock"	"Ethiopia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.45
"Livestock"	"Falkland Islands (Malvinas)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0
"Livestock"	"Faroe Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.67
"Livestock"	"Fiji"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.73
"Livestock"	"Finland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.4
"Livestock"	"France"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.67
"Livestock"	"French Guiana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.61
"Livestock"	"French Polynesia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.16
"Livestock"	"Gabon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.01
"Livestock"	"Gambia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.69
"Livestock"	"Georgia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.42
"Livestock"	"Germany"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.77
"Livestock"	"Ghana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.09
"Livestock"	"Greece"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.08
"Livestock"	"Greenland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0
"Livestock"	"Grenada"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.4
"Livestock"	"Guadeloupe"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.73
"Livestock"	"Guam"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.01
"Livestock"	"Guatemala"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.75
"Livestock"	"Guinea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.34
"Livestock"	"Guinea-Bissau"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.39
"Livestock"	"Guyana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.07
"Livestock"	"Haiti"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.82
"Livestock"	"Honduras"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.84
"Livestock"	"Hungary"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.13
"Livestock"	"Iceland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.05
"Livestock"	"India"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.79
"Livestock"	"Indonesia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.29
"Livestock"	"Iran (Islamic Republic of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.18
"Livestock"	"Iraq"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.23
"Livestock"	"Ireland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.45
"Livestock"	"Israel"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.83
"Livestock"	"Italy"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.45
"Livestock"	"Jamaica"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.37
"Livestock"	"Japan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.95
"Livestock"	"Jordan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.07
"Livestock"	"Kazakhstan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.03
"Livestock"	"Kenya"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.65
"Livestock"	"Kuwait"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.23
"Livestock"	"Kyrgyzstan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.12
"Livestock"	"Lao People's Democratic Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.12
"Livestock"	"Latvia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.21
"Livestock"	"Lebanon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.11
"Livestock"	"Lesotho"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.27
"Livestock"	"Liberia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.02
"Livestock"	"Libya"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.01
"Livestock"	"Liechtenstein"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.94
"Livestock"	"Lithuania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.27
"Livestock"	"Luxembourg"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.52
"Livestock"	"Madagascar"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.24
"Livestock"	"Malawi"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.19
"Livestock"	"Malaysia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.13
"Livestock"	"Mali"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.22
"Livestock"	"Malta"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.45
"Livestock"	"Martinique"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.8
"Livestock"	"Mauritania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.04
"Livestock"	"Mauritius"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.08
"Livestock"	"Mexico"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.32
"Livestock"	"Micronesia (Federated States of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.64
"Livestock"	"Mongolia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.02
"Livestock"	"Montenegro"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.19
"Livestock"	"Montserrat"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	3.27
"Livestock"	"Morocco"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.1
"Livestock"	"Mozambique"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.03
"Livestock"	"Myanmar"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.28
"Livestock"	"Namibia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.06
"Livestock"	"Nepal"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	2.83
"Livestock"	"Netherlands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	2.08
"Livestock"	"Netherlands Antilles"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.08
"Livestock"	"New Caledonia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.36
"Livestock"	"New Zealand"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.86
"Livestock"	"Nicaragua"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.72
"Livestock"	"Niger"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.22
"Livestock"	"Nigeria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.21
"Livestock"	"Niue"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.02
"Livestock"	"Norfolk Island"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0
"Livestock"	"Norway"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.87
"Livestock"	"Occupied Palestinian Territory"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.11
"Livestock"	"Oman"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.19
"Livestock"	"Pakistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	2.41
"Livestock"	"Panama"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.73
"Livestock"	"Papua New Guinea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.08
"Livestock"	"Paraguay"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.59
"Livestock"	"Peru"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.26
"Livestock"	"Philippines"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.49
"Livestock"	"Poland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.39
"Livestock"	"Portugal"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.39
"Livestock"	"Puerto Rico"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	2
"Livestock"	"Qatar"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.17
"Livestock"	"Republic of Korea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.89
"Livestock"	"Republic of Moldova"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.09
"Livestock"	"Réunion"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.61
"Livestock"	"Romania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.18
"Livestock"	"Russian Federation"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.1
"Livestock"	"Rwanda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.7
"Livestock"	"Saint Helena, Ascension and Tristan da Cunha"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.06
"Livestock"	"Saint Kitts and Nevis"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.23
"Livestock"	"Saint Lucia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1
"Livestock"	"Saint Pierre and Miquelon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.01
"Livestock"	"Saint Vincent and the Grenadines"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.52
"Livestock"	"Samoa"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.86
"Livestock"	"Sao Tome and Principe"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.1
"Livestock"	"Saudi Arabia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0
"Livestock"	"Senegal"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.35
"Livestock"	"Serbia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.19
"Livestock"	"Seychelles"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.22
"Livestock"	"Sierra Leone"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.15
"Livestock"	"Singapore"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.27
"Livestock"	"Slovakia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.24
"Livestock"	"Slovenia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.98
"Livestock"	"Solomon Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.16
"Livestock"	"Somalia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.11
"Livestock"	"South Africa"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.14
"Livestock"	"Spain"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.22
"Livestock"	"Sri Lanka"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.61
"Livestock"	"Sudan (former)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.31
"Livestock"	"Suriname"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.75
"Livestock"	"Swaziland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.51
"Livestock"	"Sweden"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.5
"Livestock"	"Switzerland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	1.04
"Livestock"	"Syrian Arab Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.07
"Livestock"	"Tajikistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.39
"Livestock"	"Thailand"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.39
"Livestock"	"The former Yugoslav Republic of Macedonia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.23
"Livestock"	"Timor-Leste"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.71
"Livestock"	"Togo"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.08
"Livestock"	"Tonga"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.36
"Livestock"	"Trinidad and Tobago"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.71
"Livestock"	"Tunisia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.07
"Livestock"	"Turkey"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.28
"Livestock"	"Turkmenistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.07
"Livestock"	"Uganda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.55
"Livestock"	"Ukraine"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.12
"Livestock"	"United Arab Emirates"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.16
"Livestock"	"United Kingdom"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.59
"Livestock"	"United Republic of Tanzania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.52
"Livestock"	"United States of America"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.23
"Livestock"	"United States Virgin Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	2.05
"Livestock"	"Uruguay"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.82
"Livestock"	"Uzbekistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.32
"Livestock"	"Vanuatu"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.86
"Livestock"	"Venezuela (Bolivarian Republic of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.81
"Livestock"	"Viet Nam"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.81
"Livestock"	"Wallis and Futuna Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.01
"Livestock"	"Western Sahara"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0
"Livestock"	"Yemen"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.07
"Livestock"	"Zambia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.13
"Livestock"	"Zimbabwe"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.31
"Livestock"	"Afghanistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.08
"Livestock"	"Albania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.64
"Livestock"	"Algeria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.04
"Livestock"	"American Samoa"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.02
"Livestock"	"Angola"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.07
"Livestock"	"Antigua and Barbuda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.46
"Livestock"	"Argentina"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.38
"Livestock"	"Armenia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.36
"Livestock"	"Australia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.06
"Livestock"	"Austria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.64
"Livestock"	"Azerbaijan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.41
"Livestock"	"Bahamas"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.05
"Livestock"	"Bahrain"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.2
"Livestock"	"Bangladesh"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	2.47
"Livestock"	"Barbados"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.28
"Livestock"	"Belarus"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.47
"Livestock"	"Belgium"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	2.19
"Livestock"	"Belize"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.35
"Livestock"	"Benin"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.48
"Livestock"	"Bermuda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.6
"Livestock"	"Bhutan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.67
"Livestock"	"Bolivia (Plurinational State of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.18
"Livestock"	"Bosnia and Herzegovina"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.22
"Livestock"	"Botswana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.1
"Livestock"	"Brazil"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.65
"Livestock"	"British Virgin Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.34
"Livestock"	"Brunei Darussalam"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.69
"Livestock"	"Bulgaria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.12
"Livestock"	"Burkina Faso"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.49
"Livestock"	"Burundi"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.16
"Livestock"	"Cambodia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.77
"Livestock"	"Cameroon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.64
"Livestock"	"Canada"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.2
"Livestock"	"Cape Verde"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.3
"Livestock"	"Cayman Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.67
"Livestock"	"Central African Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.61
"Livestock"	"Chad"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.12
"Livestock"	"Chile"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.27
"Livestock"	"China"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.24
"Livestock"	"Colombia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.54
"Livestock"	"Comoros"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.35
"Livestock"	"Congo"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Cook Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.03
"Livestock"	"Costa Rica"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.74
"Livestock"	"Côte d'Ivoire"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.07
"Livestock"	"Croatia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.36
"Livestock"	"Cuba"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.63
"Livestock"	"Cyprus"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.38
"Livestock"	"Czech Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.37
"Livestock"	"Democratic People's Republic of Korea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.23
"Livestock"	"Democratic Republic of the Congo"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.03
