"ISO3"	"FRACOUNTRYCODE"	"COUNTRY"	"FRACATCODE"	"FRACAT"	"YEAR"	"VALUE"
"ARG"	215	"Argentina"	0	"Forest"	2005	30599
"ARG"	215	"Argentina"	1	"Inland water"	2000	4371
"ARG"	215	"Argentina"	2	"Other land"	2010	182798
"ARG"	215	"Argentina"	1	"Inland water"	2010	4371
"ARG"	215	"Argentina"	3	"Other wooded land"	2005	61602
"ARG"	215	"Argentina"	3	"Other wooded land"	2000	61732
"ARM"	156	"Armenia"	0	"Forest"	2000	304
"ARM"	156	"Armenia"	1	"Inland water"	1990	160
"ARM"	156	"Armenia"	3	"Other wooded land"	2000	45
"ARM"	156	"Armenia"	2	"Other land"	1990	2428
"ARM"	156	"Armenia"	1	"Inland water"	2000	160
"ARM"	156	"Armenia"	3	"Other wooded land"	2010	45
"ARM"	156	"Armenia"	2	"Other land"	2010	2513
"ARM"	156	"Armenia"	2	"Other land"	2005	2492
"ARM"	156	"Armenia"	0	"Forest"	2005	283
"ARM"	156	"Armenia"	1	"Inland water"	2005	160
"ARM"	156	"Armenia"	0	"Forest"	2010	262
"ARM"	156	"Armenia"	1	"Inland water"	2010	160
"ARM"	156	"Armenia"	0	"Forest"	1990	347
"ARM"	156	"Armenia"	3	"Other wooded land"	2005	45
"ARM"	156	"Armenia"	3	"Other wooded land"	1990	45
"ARM"	156	"Armenia"	2	"Other land"	2000	2471
"ABW"	7656243	"Aruba"	0	"Forest"	1990	0.42
"ABW"	7656243	"Aruba"	3	"Other wooded land"	2010	0
"ABW"	7656243	"Aruba"	3	"Other wooded land"	1990	0
"ABW"	7656243	"Aruba"	1	"Inland water"	2000	0
"ABW"	7656243	"Aruba"	0	"Forest"	2010	0.42
"ABW"	7656243	"Aruba"	2	"Other land"	2000	17.58
"ABW"	7656243	"Aruba"	3	"Other wooded land"	2000	0
"ABW"	7656243	"Aruba"	0	"Forest"	2000	0.42
"ABW"	7656243	"Aruba"	1	"Inland water"	2005	0
"ABW"	7656243	"Aruba"	0	"Forest"	2005	0.42
"ABW"	7656243	"Aruba"	2	"Other land"	1990	17.58
"ABW"	7656243	"Aruba"	2	"Other land"	2005	17.58
"ABW"	7656243	"Aruba"	3	"Other wooded land"	2005	0
"ABW"	7656243	"Aruba"	1	"Inland water"	2010	0
"ABW"	7656243	"Aruba"	1	"Inland water"	1990	0
"ABW"	7656243	"Aruba"	2	"Other land"	2010	17.58
"AUS"	123	"Australia"	1	"Inland water"	2005	5892
"AUS"	123	"Australia"	3	"Other wooded land"	1990	0
"AUS"	123	"Australia"	1	"Inland water"	2000	5892
"AUS"	123	"Australia"	0	"Forest"	2000	154920
"AUS"	123	"Australia"	3	"Other wooded land"	2000	0
"AUS"	123	"Australia"	1	"Inland water"	1990	5892
"AUS"	123	"Australia"	2	"Other land"	2005	614310
"AUS"	123	"Australia"	1	"Inland water"	2010	5892
"AUS"	123	"Australia"	0	"Forest"	1990	154500
"AUS"	123	"Australia"	2	"Other land"	2000	613310
"AUS"	123	"Australia"	0	"Forest"	2010	149300
"AUS"	123	"Australia"	3	"Other wooded land"	2005	0
"AUS"	123	"Australia"	2	"Other land"	1990	613730
"AUS"	123	"Australia"	0	"Forest"	2005	153920
"AUS"	123	"Australia"	2	"Other land"	2010	483561
"AUS"	123	"Australia"	3	"Other wooded land"	2010	135367
"AUT"	129	"Austria"	2	"Other land"	1990	4351
"AUT"	129	"Austria"	2	"Other land"	2005	4265
"AUT"	129	"Austria"	2	"Other land"	2000	4290
"AUT"	129	"Austria"	1	"Inland water"	1990	142
"AUT"	129	"Austria"	1	"Inland water"	2000	142
"AUT"	129	"Austria"	3	"Other wooded land"	1990	118
"AUT"	129	"Austria"	0	"Forest"	1990	3776
"AUT"	129	"Austria"	0	"Forest"	2005	3862
"AUT"	129	"Austria"	0	"Forest"	2010	3887
"AUT"	129	"Austria"	3	"Other wooded land"	2000	117
"AUT"	129	"Austria"	3	"Other wooded land"	2010	119
"AUT"	129	"Austria"	3	"Other wooded land"	2005	118
"AUT"	129	"Austria"	0	"Forest"	2000	3838
"AUT"	129	"Austria"	1	"Inland water"	2005	142
"AUT"	129	"Austria"	1	"Inland water"	2010	142
"AUT"	129	"Austria"	2	"Other land"	2010	4239
"AZE"	157	"Azerbaijan"	3	"Other wooded land"	2000	54
"AZE"	157	"Azerbaijan"	0	"Forest"	2000	936
"AZE"	157	"Azerbaijan"	3	"Other wooded land"	2010	54
"AZE"	157	"Azerbaijan"	2	"Other land"	1990	7273
"AZE"	157	"Azerbaijan"	1	"Inland water"	1990	397
"AZE"	157	"Azerbaijan"	1	"Inland water"	2000	397
"AZE"	157	"Azerbaijan"	2	"Other land"	2000	7273
"AZE"	157	"Azerbaijan"	0	"Forest"	2010	936
"AZE"	157	"Azerbaijan"	1	"Inland water"	2010	397.1
"AZE"	157	"Azerbaijan"	2	"Other land"	2005	7273
"AZE"	157	"Azerbaijan"	1	"Inland water"	2005	397
"AZE"	157	"Azerbaijan"	3	"Other wooded land"	2005	54
"AZE"	157	"Azerbaijan"	2	"Other land"	2010	7273
"AZE"	157	"Azerbaijan"	3	"Other wooded land"	1990	54
"AZE"	157	"Azerbaijan"	0	"Forest"	2005	936
"AZE"	157	"Azerbaijan"	0	"Forest"	1990	936
"BHS"	180	"Bahamas"	3	"Other wooded land"	2000	35.7
"BHS"	180	"Bahamas"	1	"Inland water"	2010	387
"BHS"	180	"Bahamas"	1	"Inland water"	2000	387
"BHS"	180	"Bahamas"	1	"Inland water"	1990	387
"BHS"	180	"Bahamas"	3	"Other wooded land"	2005	35.7
"BHS"	180	"Bahamas"	2	"Other land"	2010	450
"BHS"	180	"Bahamas"	2	"Other land"	2000	450
"BHS"	180	"Bahamas"	0	"Forest"	2000	515
"BHS"	180	"Bahamas"	3	"Other wooded land"	1990	35.7
"BHS"	180	"Bahamas"	2	"Other land"	1990	450
"BHS"	180	"Bahamas"	2	"Other land"	2005	450
"BHS"	180	"Bahamas"	0	"Forest"	2010	515
"BHS"	180	"Bahamas"	0	"Forest"	1990	515
"BHS"	180	"Bahamas"	0	"Forest"	2005	515
"BHS"	180	"Bahamas"	3	"Other wooded land"	2010	35.7
"BHS"	180	"Bahamas"	1	"Inland water"	2005	387
"BHR"	87	"Bahrain"	2	"Other land"	2010	70.384
"BHR"	87	"Bahrain"	3	"Other wooded land"	2005	0.09
"BHR"	87	"Bahrain"	2	"Other land"	1990	70.684
"BHR"	87	"Bahrain"	0	"Forest"	1990	0.216
"BHR"	87	"Bahrain"	1	"Inland water"	1990	0
"BHR"	87	"Bahrain"	3	"Other wooded land"	1990	0.1
"BHR"	87	"Bahrain"	0	"Forest"	2005	0.448
"BHR"	87	"Bahrain"	1	"Inland water"	2005	0
"BHR"	87	"Bahrain"	3	"Other wooded land"	2000	0.09
"BHR"	87	"Bahrain"	0	"Forest"	2000	0.371
"BHR"	87	"Bahrain"	0	"Forest"	2010	0.526
"BHR"	87	"Bahrain"	1	"Inland water"	2010	0
"BHR"	87	"Bahrain"	2	"Other land"	2000	70.539
"BHR"	87	"Bahrain"	1	"Inland water"	2000	0
"BHR"	87	"Bahrain"	3	"Other wooded land"	2010	0.09
"BHR"	87	"Bahrain"	2	"Other land"	2005	70.462
"BGD"	31	"Bangladesh"	3	"Other wooded land"	1990	269
"BGD"	31	"Bangladesh"	0	"Forest"	2000	1468
"BGD"	31	"Bangladesh"	2	"Other land"	1990	11254
"BGD"	31	"Bangladesh"	0	"Forest"	2005	1455
"BGD"	31	"Bangladesh"	1	"Inland water"	2005	1383
"BGD"	31	"Bangladesh"	0	"Forest"	2010	1442
"BGD"	31	"Bangladesh"	1	"Inland water"	1990	1383
"BGD"	31	"Bangladesh"	2	"Other land"	2000	11270
"BGD"	31	"Bangladesh"	3	"Other wooded land"	2010	289
"BGD"	31	"Bangladesh"	3	"Other wooded land"	2000	279
"BGD"	31	"Bangladesh"	3	"Other wooded land"	2005	284
"BGD"	31	"Bangladesh"	1	"Inland water"	2000	1383
"BGD"	31	"Bangladesh"	2	"Other land"	2010	11286
"BGD"	31	"Bangladesh"	2	"Other land"	2005	11278
"BGD"	31	"Bangladesh"	0	"Forest"	1990	1494
"BGD"	31	"Bangladesh"	1	"Inland water"	2010	1383
"BRB"	181	"Barbados"	2	"Other land"	1990	33.99
"BRB"	181	"Barbados"	0	"Forest"	2000	8.36
"BRB"	181	"Barbados"	1	"Inland water"	1990	0
"BRB"	181	"Barbados"	0	"Forest"	2005	8.36
"BRB"	181	"Barbados"	0	"Forest"	1990	8.36
"BRB"	181	"Barbados"	2	"Other land"	2000	33.99
"BRB"	181	"Barbados"	0	"Forest"	2010	8.36
"BRB"	181	"Barbados"	3	"Other wooded land"	1990	0.65
"BRB"	181	"Barbados"	2	"Other land"	2005	33.99
"BRB"	181	"Barbados"	3	"Other wooded land"	2010	0.65
"BRB"	181	"Barbados"	3	"Other wooded land"	2000	0.65
"BRB"	181	"Barbados"	3	"Other wooded land"	2005	0.65
"BRB"	181	"Barbados"	1	"Inland water"	2005	0
"BRB"	181	"Barbados"	2	"Other land"	2010	33.99
"BRB"	181	"Barbados"	1	"Inland water"	2000	0
"BRB"	181	"Barbados"	1	"Inland water"	2010	0
"BLR"	158	"Belarus"	3	"Other wooded land"	1990	491
"BLR"	158	"Belarus"	0	"Forest"	2000	8273
"BLR"	158	"Belarus"	1	"Inland water"	2005	12
"BLR"	158	"Belarus"	2	"Other land"	1990	12477
"BLR"	158	"Belarus"	2	"Other land"	2000	11985
"BLR"	158	"Belarus"	1	"Inland water"	1990	12
"BLR"	158	"Belarus"	0	"Forest"	2010	8630
"BLR"	158	"Belarus"	2	"Other land"	2005	11826
"BLR"	158	"Belarus"	1	"Inland water"	2000	12
"BLR"	158	"Belarus"	3	"Other wooded land"	2000	490
"BLR"	158	"Belarus"	3	"Other wooded land"	2005	486
"BLR"	158	"Belarus"	1	"Inland water"	2010	12
"BLR"	158	"Belarus"	0	"Forest"	1990	7780
"BLR"	158	"Belarus"	2	"Other land"	2010	11598
"BLR"	158	"Belarus"	0	"Forest"	2005	8436
"BLR"	158	"Belarus"	3	"Other wooded land"	2010	520
"BEL"	130	"Belgium"	3	"Other wooded land"	2000	27.1
"BEL"	130	"Belgium"	2	"Other land"	1990	2329.7
"BEL"	130	"Belgium"	1	"Inland water"	1990	25
"BEL"	130	"Belgium"	0	"Forest"	2010	677.8
"BEL"	130	"Belgium"	2	"Other land"	2005	2327.7
"BEL"	130	"Belgium"	2	"Other land"	2010	2321.9
"BEL"	130	"Belgium"	1	"Inland water"	2005	25
"BEL"	130	"Belgium"	0	"Forest"	2000	667.3
"BEL"	130	"Belgium"	3	"Other wooded land"	2005	27.6
"BEL"	130	"Belgium"	3	"Other wooded land"	2010	28.1
"BEL"	130	"Belgium"	1	"Inland water"	2010	25
"BEL"	130	"Belgium"	0	"Forest"	1990	677.4
"BEL"	130	"Belgium"	2	"Other land"	2000	2333.4
"BEL"	130	"Belgium"	0	"Forest"	2005	672.6
"BEL"	130	"Belgium"	1	"Inland water"	2000	25
"BEL"	130	"Belgium"	3	"Other wooded land"	1990	20.7
"BLZ"	171	"Belize"	0	"Forest"	1990	1586
"BLZ"	171	"Belize"	2	"Other land"	2000	697
"BLZ"	171	"Belize"	0	"Forest"	2000	1489
"BLZ"	171	"Belize"	3	"Other wooded land"	2000	94
"BLZ"	171	"Belize"	1	"Inland water"	1990	16
"BLZ"	171	"Belize"	3	"Other wooded land"	2005	104
"BLZ"	171	"Belize"	0	"Forest"	2005	1441
"BLZ"	171	"Belize"	1	"Inland water"	2005	16
"BLZ"	171	"Belize"	2	"Other land"	2010	775
"BLZ"	171	"Belize"	3	"Other wooded land"	1990	75
"BLZ"	171	"Belize"	1	"Inland water"	2010	16
"BLZ"	171	"Belize"	3	"Other wooded land"	2010	113
"BLZ"	171	"Belize"	1	"Inland water"	2000	16
"BLZ"	171	"Belize"	0	"Forest"	2010	1393
"BLZ"	171	"Belize"	2	"Other land"	1990	619
"BLZ"	171	"Belize"	2	"Other land"	2005	736
"BEN"	55	"Benin"	0	"Forest"	2000	5061
"BEN"	55	"Benin"	0	"Forest"	1990	5761
"BEN"	55	"Benin"	3	"Other wooded land"	2005	2889
"BEN"	55	"Benin"	1	"Inland water"	2010	200
"BEN"	55	"Benin"	0	"Forest"	2005	4811
"BEN"	55	"Benin"	2	"Other land"	2000	3112
"BEN"	55	"Benin"	1	"Inland water"	1990	200
"BEN"	55	"Benin"	2	"Other land"	2010	3612
"BEN"	55	"Benin"	2	"Other land"	1990	2412
"BEN"	55	"Benin"	1	"Inland water"	2005	200
"BEN"	55	"Benin"	3	"Other wooded land"	2000	2889
"BEN"	55	"Benin"	3	"Other wooded land"	1990	2889
"BEN"	55	"Benin"	3	"Other wooded land"	2010	2889
"BEN"	55	"Benin"	1	"Inland water"	2000	200
"BEN"	55	"Benin"	0	"Forest"	2010	4561
"BEN"	55	"Benin"	2	"Other land"	2005	3362
"BMU"	182	"Bermuda"	3	"Other wooded land"	2005	0
"BMU"	182	"Bermuda"	1	"Inland water"	1990	0
"BMU"	182	"Bermuda"	3	"Other wooded land"	2010	0
"BMU"	182	"Bermuda"	1	"Inland water"	2005	0
"BMU"	182	"Bermuda"	3	"Other wooded land"	2000	0
"BMU"	182	"Bermuda"	2	"Other land"	2010	4
"BMU"	182	"Bermuda"	0	"Forest"	2005	1
"BMU"	182	"Bermuda"	1	"Inland water"	2000	0
"BMU"	182	"Bermuda"	3	"Other wooded land"	1990	0
"BMU"	182	"Bermuda"	1	"Inland water"	2010	0
"BMU"	182	"Bermuda"	2	"Other land"	2005	4
"BMU"	182	"Bermuda"	2	"Other land"	2000	4
"BMU"	182	"Bermuda"	0	"Forest"	2000	1
"BMU"	182	"Bermuda"	0	"Forest"	2010	1
"BMU"	182	"Bermuda"	2	"Other land"	1990	4
"BMU"	182	"Bermuda"	0	"Forest"	1990	1
"BTN"	32	"Bhutan"	1	"Inland water"	2005	0
"BTN"	32	"Bhutan"	3	"Other wooded land"	2010	613
"BTN"	32	"Bhutan"	2	"Other land"	2005	894
"BTN"	32	"Bhutan"	1	"Inland water"	2010	0
"BTN"	32	"Bhutan"	2	"Other land"	2010	838
"BTN"	32	"Bhutan"	1	"Inland water"	2000	0
"BTN"	32	"Bhutan"	0	"Forest"	2005	3195
"BTN"	32	"Bhutan"	1	"Inland water"	1990	0
"BTN"	32	"Bhutan"	0	"Forest"	2010	3249
"BTN"	32	"Bhutan"	2	"Other land"	1990	1099
"BTN"	32	"Bhutan"	0	"Forest"	1990	3035
"BTN"	32	"Bhutan"	3	"Other wooded land"	2005	611
"BTN"	32	"Bhutan"	0	"Forest"	2000	3141
"BTN"	32	"Bhutan"	3	"Other wooded land"	2000	609
"BTN"	32	"Bhutan"	3	"Other wooded land"	1990	566
"BTN"	32	"Bhutan"	2	"Other land"	2000	950
"BOL"	205	"Bolivia (plurinational state of)"	2	"Other land"	2005	47231
"BOL"	205	"Bolivia (plurinational state of)"	1	"Inland water"	1990	1420
"BOL"	205	"Bolivia (plurinational state of)"	0	"Forest"	2000	60091
"BOL"	205	"Bolivia (plurinational state of)"	2	"Other land"	2010	48769
"BOL"	205	"Bolivia (plurinational state of)"	1	"Inland water"	2005	1420
"BOL"	205	"Bolivia (plurinational state of)"	3	"Other wooded land"	2005	2473
"BOL"	205	"Bolivia (plurinational state of)"	0	"Forest"	2010	57196
"BOL"	205	"Bolivia (plurinational state of)"	0	"Forest"	1990	62795
"BOL"	205	"Bolivia (plurinational state of)"	0	"Forest"	2005	58734
"BOL"	205	"Bolivia (plurinational state of)"	3	"Other wooded land"	1990	2473
"BOL"	205	"Bolivia (plurinational state of)"	1	"Inland water"	2000	1420
"BOL"	205	"Bolivia (plurinational state of)"	3	"Other wooded land"	2010	2473
"BOL"	205	"Bolivia (plurinational state of)"	1	"Inland water"	2010	1420
"BOL"	205	"Bolivia (plurinational state of)"	3	"Other wooded land"	2000	2473
"BOL"	205	"Bolivia (plurinational state of)"	2	"Other land"	1990	43170
"BOL"	205	"Bolivia (plurinational state of)"	2	"Other land"	2000	45874
"BIH"	145	"Bosnia and Herzegovina"	3	"Other wooded land"	1990	500
"BIH"	145	"Bosnia and Herzegovina"	0	"Forest"	2010	2185
"BIH"	145	"Bosnia and Herzegovina"	2	"Other land"	2005	2386
"BIH"	145	"Bosnia and Herzegovina"	1	"Inland water"	2000	1
"BIH"	145	"Bosnia and Herzegovina"	0	"Forest"	1990	2210
"BIH"	145	"Bosnia and Herzegovina"	1	"Inland water"	1990	1
"BIH"	145	"Bosnia and Herzegovina"	0	"Forest"	2000	2185
"BIH"	145	"Bosnia and Herzegovina"	3	"Other wooded land"	2005	549
"BIH"	145	"Bosnia and Herzegovina"	2	"Other land"	2000	2386
"BIH"	145	"Bosnia and Herzegovina"	2	"Other land"	2010	2386
"BIH"	145	"Bosnia and Herzegovina"	0	"Forest"	2005	2185
"BIH"	145	"Bosnia and Herzegovina"	2	"Other land"	1990	2410
"BIH"	145	"Bosnia and Herzegovina"	3	"Other wooded land"	2010	549
"BIH"	145	"Bosnia and Herzegovina"	3	"Other wooded land"	2000	549
"BIH"	145	"Bosnia and Herzegovina"	1	"Inland water"	2005	1
"BIH"	145	"Bosnia and Herzegovina"	1	"Inland water"	2010	1
"BWA"	14	"Botswana"	0	"Forest"	2000	12535
"BWA"	14	"Botswana"	3	"Other wooded land"	1990	34791
"BWA"	14	"Botswana"	3	"Other wooded land"	2000	34791
"BWA"	14	"Botswana"	1	"Inland water"	2000	1500
"BWA"	14	"Botswana"	3	"Other wooded land"	2010	34791
"BWA"	14	"Botswana"	0	"Forest"	2005	11943
"BWA"	14	"Botswana"	0	"Forest"	1990	13718
"BWA"	14	"Botswana"	1	"Inland water"	1990	1500
"BWA"	14	"Botswana"	2	"Other land"	2005	9939
"BWA"	14	"Botswana"	2	"Other land"	2000	9347
"BWA"	14	"Botswana"	2	"Other land"	1990	8164
"BWA"	14	"Botswana"	3	"Other wooded land"	2005	34791
"BWA"	14	"Botswana"	1	"Inland water"	2005	1500
"BWA"	14	"Botswana"	0	"Forest"	2010	11351
"BWA"	14	"Botswana"	1	"Inland water"	2010	1500
"BWA"	14	"Botswana"	2	"Other land"	2010	10531
"BRA"	206	"Brazil"	0	"Forest"	2000	545943
"BRA"	206	"Brazil"	3	"Other wooded land"	2000	48771
"BRA"	206	"Brazil"	3	"Other wooded land"	1990	54297
"BRA"	206	"Brazil"	0	"Forest"	2005	530494
"BRA"	206	"Brazil"	1	"Inland water"	2000	18975
"BRA"	206	"Brazil"	3	"Other wooded land"	2010	43772
"BRA"	206	"Brazil"	1	"Inland water"	2010	18975
"BRA"	206	"Brazil"	2	"Other land"	2000	237799
"BRA"	206	"Brazil"	0	"Forest"	2010	519522
"BRA"	206	"Brazil"	2	"Other land"	1990	203377
"BRA"	206	"Brazil"	2	"Other land"	2005	255849
"BRA"	206	"Brazil"	1	"Inland water"	2005	18975
"BRA"	206	"Brazil"	3	"Other wooded land"	2005	46171
"BRA"	206	"Brazil"	1	"Inland water"	1990	18975
"BRA"	206	"Brazil"	0	"Forest"	1990	574839
